image;loss;accuracy;iou;dice;tp;tn
./data/test/image/-73_82__-3_91_2019-09-03.jpg;0.051740627735853195;0.003681182861328125;0.6203782558441162;0.7657265663146973;1.0;1.0
./data/test/image/-53_03__-0_15_2018-10-14.jpg;0.001994660124182701;0.005680084228515625;0.5955482125282288;0.7467034459114075;1.0;1.0
./data/test/image/-53_15__-0_11_2018-10-14.jpg;0.020762134343385696;0.00188446044921875;0.6239997744560242;0.7684879302978516;1.0;1.0
./data/test/image/-70_86__-3_47_2021-01-17.jpg;0.0011593432864174247;0.003070831298828125;0.5896857976913452;0.7422289252281189;1.0;1.0
./data/test/image/-53_27__0_01_2018-10-14.jpg;0.003427444724366069;0.002902984619140625;0.6149730086326599;0.7616869807243347;1.0;1.0
./data/test/image/-53_7__0_4_2019-09-24.jpg;0.001510842121206224;0.001262664794921875;0.5693686604499817;0.7258987426757812;1.0;1.0
./data/test/image/-53_03__-0_23_2018-10-14.jpg;0.006660581100732088;0.001949310302734375;0.6065749526023865;0.7551687359809875;1.0;1.0
./data/test/image/-53_78__0_36_2019-09-24.jpg;0.008814016357064247;0.002071380615234375;0.604464054107666;0.7535185217857361;1.0;1.0
./data/test/image/-53_38__-0_17_2019-09-24.jpg;3.9633977166886325e-07;0.00403594970703125;0.006199586670845747;0.9650354981422424;1.0;1.0
./data/test/image/-71_56__-3_52_2021-01-17.jpg;0.0066528161987662315;0.021457672119140625;0.6349432468414307;0.7767600417137146;1.0;1.0
./data/test/image/-53_42__-0_13_2019-09-24.jpg;0.002874705009162426;0.00213623046875;0.6052008867263794;0.7541742920875549;1.0;1.0
./data/test/image/-53_78__0_44_2019-09-24.jpg;2.712294735829346e-05;0.005138397216796875;0.022882511839270592;0.28085434436798096;1.0;1.0
./data/test/image/-53_78__0_32_2019-09-24.jpg;4.207403435430024e-06;0.00341033935546875;0.005453913472592831;0.7320387959480286;1.0;1.0
./data/test/image/-71_02__-3_55_2021-01-17.jpg;0.0222579687833786;0.0208282470703125;0.6309128999710083;0.7737064957618713;1.0;1.0
./data/test/image/-53_9__0_56_2019-09-24.jpg;0.0037638593930751085;0.007358551025390625;0.5931786298751831;0.7447503209114075;1.0;1.0
./data/test/image/-63_6__3_7_2019-02-26.jpg;0.020824946463108063;0.00298309326171875;0.6225028038024902;0.7673518061637878;1.0;1.0
./data/test/image/-63_19__3_62_2019-09-21.jpg;0.004287284798920155;0.02002716064453125;0.6180652976036072;0.7640326023101807;1.0;1.0
./data/test/image/-53_23__0_01_2018-10-14.jpg;0.00293554225936532;0.0025482177734375;0.6031537652015686;0.7525818943977356;1.0;1.0
./data/test/image/-71_16__-3_77_2021-01-17.jpg;0.0007700338610447943;0.00882720947265625;0.5976977348327637;0.7486816048622131;1.0;1.0
./data/test/image/-63_19__3_58_2019-09-21.jpg;0.0016260225092992187;0.011444091796875;0.6152462363243103;0.7620041370391846;1.0;1.0
./data/test/image/-63_675__3_705_2020-03-04.jpg;0.03349418193101883;0.00421142578125;0.6296257376670837;0.7727333903312683;1.0;1.0
./data/test/image/-70_94__-3_43_2021-01-17.jpg;0.0015108673833310604;0.00096893310546875;0.5559147000312805;0.7149034142494202;1.0;1.0
./data/test/image/-63_23__3_57_2018-03-15.jpg;1.8878422736179346e-07;0.005100250244140625;0.0018965587951242924;0.9854846596717834;1.0;1.0
./data/test/image/-52_99__-0_23_2018-10-14.jpg;0.015916597098112106;0.002086639404296875;0.6167975664138794;0.7630075812339783;1.0;1.0
./data/test/image/-52_23__0_7_2019-09-24.jpg;0.00019445079669822007;0.00189208984375;0.5692071318626404;0.7277404069900513;1.0;1.0
./data/test/image/-53_15__-0_31_2018-10-14.jpg;0.0016563930548727512;0.002719879150390625;0.6122210621833801;0.7596812844276428;1.0;1.0
./data/test/image/-60_82__-2_98_2020-07-29.jpg;0.00810733437538147;0.012676239013671875;0.6108711361885071;0.7584781646728516;1.0;1.0
./data/test/image/-71_16__-3_81_2021-01-17.jpg;0.055291276425123215;0.008815765380859375;0.6320152878761292;0.7745267152786255;1.0;1.0
./data/test/image/-60_86__-3_02_2020-07-29.jpg;0.09612853825092316;0.009918212890625;0.6273146271705627;0.7709845900535583;1.0;1.0
./data/test/image/-53_19__0_05_2018-10-14.jpg;0.002307991962879896;0.000568389892578125;0.617608368396759;0.7637495398521423;1.0;1.0
./data/test/image/-52_99__-0_19_2018-10-14.jpg;0.0012521091848611832;0.010494232177734375;0.5286180377006531;0.6920846104621887;1.0;1.0
./data/test/image/-71_02__-3_43_2021-01-17.jpg;0.0008359298808500171;0.00232696533203125;0.5969486236572266;0.7480601072311401;1.0;1.0
./data/test/image/-70_9__-3_43_2021-01-17.jpg;9.737915718233126e-08;0.001865386962890625;0.0016925683012232184;0.9926137328147888;1.0;1.0
./data/test/image/-53_86__0_52_2019-09-24.jpg;0.006906776688992977;0.001285552978515625;0.6097483038902283;0.7576199173927307;1.0;1.0
./data/test/image/-63_675__3_705_2020-09-13.jpg;0.03284773230552673;0.048175811767578125;0.6249859929084778;0.7692297101020813;1.0;1.0
./data/test/image/-52_95__-0_11_2018-10-14.jpg;0.004122693091630936;0.00441741943359375;0.6341167688369751;0.7761688232421875;1.0;1.0
./data/test/image/-71_48__-3_56_2021-01-17.jpg;0.049652099609375;0.003887176513671875;0.6343445181846619;0.7762737274169922;1.0;1.0
./data/test/image/-53_19__-0_03_2018-10-14.jpg;0.015483520925045013;0.001338958740234375;0.6231727004051208;0.7678657174110413;1.0;1.0
./data/test/image/-70_86__-3_51_2021-01-17.jpg;4.5042266805239706e-08;0.0006866455078125;0.0006761286640539765;0.9969845414161682;1.0;1.0
./data/test/image/-71_35__-3_72_2021-01-17.jpg;0.020762519910931587;0.0193023681640625;0.6192089915275574;0.7648447155952454;1.0;1.0
./data/test/image/-52_95__-0_31_2018-10-14.jpg;0.005292367190122604;0.00128936767578125;0.596388578414917;0.7472437024116516;1.0;1.0
./data/test/image/-52_95__-0_19_2018-10-14.jpg;0.0030252602882683277;0.000461578369140625;0.5949254035949707;0.7461488842964172;1.0;1.0
./data/test/image/-53_78__0_4_2019-09-24.jpg;0.0015268848510459065;0.00099945068359375;0.5824022889137268;0.7363712191581726;1.0;1.0
./data/test/image/-70_9__-3_47_2021-01-17.jpg;8.103583240881562e-05;0.00185394287109375;0.2355412244796753;0.4103609323501587;1.0;1.0
./data/test/image/-52_31__0_62_2019-09-24.jpg;0.0013671254273504019;0.009227752685546875;0.6108137369155884;0.7586423754692078;1.0;1.0
./data/test/image/-53_19__-0_27_2018-10-14.jpg;0.006605379283428192;0.00102996826171875;0.620266854763031;0.7656844258308411;1.0;1.0
./data/test/image/-71_64__-3_52_2021-01-17.jpg;8.125309847173412e-08;0.01584625244140625;0.0013461378403007984;0.9940616488456726;1.0;1.0
./data/test/image/-53_38__-0_13_2019-09-24.jpg;0.0036643007770180702;0.00086212158203125;0.5940325260162354;0.7454252243041992;1.0;1.0
./data/test/image/-53_7__0_44_2019-09-24.jpg;0.0010032376740127802;0.0028839111328125;0.5432596206665039;0.7045565843582153;1.0;1.0
./data/test/image/-71_12__-3_81_2021-01-17.jpg;0.026584960520267487;0.004650115966796875;0.6315631866455078;0.7741929888725281;1.0;1.0
